Site,last grazed,Burn.or.clearT1% WD,Burn.or.clearT2% WD,wildfires between T1T2,wildfires between T2T3,Altitude.m,AnnPrecip,MeanAnnTemp
Basalt Hill,2003,50,0,0,0,1650,1549,56
Blue Waterholes,1965,50,0,1,0,1260,1227,88
Bogong Swamp,1958,75,0,0,0,1640,1809,65
Botherum Plain,1959,0,0,1,0,1300,1406,81
Broadway Plain,1958,0,75,1,0,1280,1584,83
Cooleman Plain,1965,90,0,1,0,1300,1247,88
Currango Plain,1965,20,20,1,0,1250,1196,88
Emu Plain,1958,100,0,0,1,1550,1728,70
Gulf Plain,1965,20,0,0,1,1210,1080,90
Happy Jacks,1958,90,0,0,0,1450,1566,75
Kellys Plain,1964,0,60,1,1,1400,1346,81
Kiandra,1964,50,90,1,0,1430,1447,77
Long Plain,1964,100,0,0,0,1330,1339,85
Long Plain North,1964,0,0,0,0,1360,1467,83
Nungar Plain,1964,0,90,1,0,1350,1237,83
Peppercorn,1964,10,0,0,1,1380,1356,82
Perisher,1955,0,0,0,0,1760,1858,54
PV east,2003,0,0,1,0,1690,1571,57
PV west,2003,0,0,0,0,1770,1614,54
Snowy Plain,1998,25,25,0,0,1340,1431,79
Tantangara Plain,1964,80,80,1,0,1290,1268,87
Tate,1955,0,0,0,0,1750,1861,54
Toolong Plain,1958,10,0,0,0,1240,1502,86
