Site,date,Tr.hit,Sh.hit,Gr.hit
Basalt Hill,1945,58,470,830
Blue Waterholes,1944,188,20,912
Bogong Swamp,1945,218,44,509
Botherum Plain,1945,261,7,902
Broadway Plain,1945,410,204,663
Cooleman Plain,1944,407,0,704
Currango Plain,1944,222,13,1027
Emu Plain,1945,2,138,508
Gulf Plain,1944,405,16,834
Happy Jacks,1945,30,22,1145
Kellys Plain,1944,127,64,962
Kiandra,1944,132,12,1077
Long Plain,1944,8,47,1414
Long Plain North,1944,258,3,616
Nungar Plain,1944,240,63,730
Peppercorn,1944,640,255,277
Perisher,1945,198,259,409
PV east,1936,18,71,833
PV west,1945,4,444,1090
Snowy Plain,1944,107,22,1147
Tantangara Plain,1944,325,30,762
Tate,1945,84,639,718
Toolong Plain,1945,407,96,610
Basalt Hill,1980,80,619,681
Blue Waterholes,1970,410,43,889
Bogong Swamp,1964,358,247,306
Botherum Plain,1964,234,11,898
Broadway Plain,1964,405,340,527
Cooleman Plain,1970,653,3,701
Currango Plain,1970,261,82,958
Emu Plain,1964,452,477,169
Gulf Plain,1970,494,28,822
Happy Jacks,1964,35,92,1075
Kellys Plain,1970,94,43,983
Kiandra,1970,92,12,1077
Long Plain,1970,9,49,1412
Long Plain North,1970,290,3,616
Nungar Plain,1970,136,84,709
Peppercorn,1970,750,290,242
Perisher,1968,138,359,309
PV east,1980,42,98,806
PV west,1961,4,612,924
Snowy Plain,1970,93,22,1147
Tantangara Plain,1970,306,51,741
Tate,1964,133,694,663
Toolong Plain,1964,427,390,316
Basalt Hill,2003,92,915,385
Blue Waterholes,1998,550,143,789
Bogong Swamp,1998,459,222,331
Botherum Plain,1998,253,10,899
Broadway Plain,1998,484,524,343
Cooleman Plain,1998,687,11,693
Currango Plain,1998,294,171,869
Emu Plain,1998,480,579,67
Gulf Plain,1998,536,68,782
Happy Jacks,1998,51,187,980
Kellys Plain,1998,255,311,715
Kiandra,1998,275,116,973
Long Plain,1998,31,120,1341
Long Plain North,1998,281,13,606
Nungar Plain,1998,420,194,599
Peppercorn,1998,693,308,224
Perisher,1998,510,542,126
PV east,2003,49,131,773
PV west,2003,13,974,556
Snowy Plain,1998,70,40,1129
Tantangara Plain,1998,674.9999999,117.0000002,674.9999998
Tate,1998,160,914,443
Toolong Plain,1998,649,460,246
